Text,Label
 user  cyclonegaja  wind  warning  gale  wind  speed  reaching  kmph  gusting   kmph  prevails   eastcentral   adjoining  w,A
 user  gaja    likely    intensify    next   days   become   severe  cyclonic  storm    bay   ben,A
 user  cyclonegaja  wind  warning  gale  wind  speed  reaching  kmph  gusting   kmph  prevails   eastcentral   adjoining  w,A
 user  fishermen    advised    venture    sea   monday    already   deep  sea    asked   return,A
 user  cyclone  alefor  tamilnadu  cyclonegaja  imd  bulletin   url,A
 user  cyclonegaja  wind  warning  gale  wind  speed  reaching  kmph  gusting   kmph  prevails   eastcentral   adjoining  w,A
 user  look  really  scary   th   th   nagapattinam  belt  video  courtesy  app  windy  screenshotcapture  cyclonegaja  url,A
 user  cyclone  alefor  tamilnadu  cyclonegaja  imd  bulletin   url,A
 cyclone  alefor  tamilnadu  cyclonegaja  imd  bulletin   url,A
 user  cyclone  alefor  north  tamilnadu  cyclonegaja  imd  bulletin   url,A
 user  fishermen    advised    venture    sea   monday    already   deep  sea    asked   r,A
 user  friends    side   bay   bengal  stay  safe   brace   cyclonegaja   coming  url,A
 user  gaja    likely    intensify    next   days   become   severe  cyclonic  storm    bay   ben,A
 user     common  consensus  among  models   landfall  point   cyclonegaja    models  take  south  west  direction ,A
 user  look  really  scary   th   th   nagapattinam  belt  video  courtesy  app  windy  screenshotcapture  cyclonegaja  url,A
 user  cyclonegaja  wind  warning  gale  wind  speed  reaching  kmph  gusting   kmph  prevails   eastcentral   adjoining  w,A
 user  friends    side   bay   bengal  stay  safe   brace   cyclonegaja   coming  url,A
 user  cyclonegaja   turn  severe  heavy  rains  expected   andhra  tamil  nadu  url  url,A
 user  friends    side   bay   bengal  stay  safe   brace   cyclonegaja   coming  url,A
 user  according   user  gaja   make  landfall   tamilnadu   thursday  afternoon   url,A
 user  cyclonegaja  wind  warning  gale  wind  speed  reaching  kmph  gusting   kmph  prevails   eastcentral   adjoining  w,A
 user  cyclonegaja  effect  imd  issues  alert  severe  cyclonic  storm  expected  within  hours  url  url,A
 user  cyclone  gaja   turn   severe  cyclonic  storm   next  hours  tamil  nadu   andhra  pradesh   witness  heavy  rainfall,A
 user  cyclonegaja  effect  imd  issues  alert  severe  cyclonic  storm  expected  within  hours  url  url,A
 user  cyclonegaja  wind  warning  gale  wind  speed  reaching  kmph  gusting   kmph  prevails   eastcentral   adjoining  w,A
 user  cyclonegaja  effect  imd  issues  alert  severe  cyclonic  storm  expected  within  hours  url  url,A
 user  gaja    likely    intensify    next   days   become   severe  cyclonic  storm    bay   ben,A
 user  according   user  gaja   make  landfall   tamilnadu   thursday  afternoon   url,A
 user  cyclonegaja  wind  warning  gale  wind  speed  reaching  kmph  gusting   kmph  prevails   eastcentral   adjoining  w,A
 user  according   user  gaja   make  landfall   tamilnadu   thursday  afternoon   url,A
 user  cyclonegaja  wind  warning  gale  wind  speed  reaching  kmph  gusting   kmph  prevails   eastcentral   adjoining  w,A
 user  cyclonegaja  wind  warning  gale  wind  speed  reaching  kmph  gusting   kmph  prevails   eastcentral   adjoining  w,A
